time,concentration
0.0,0.0,0.0
0.01,0.0002794190701803885,0.0001464027258517418
0.015,0.001283510606684909,0.0006880684381776718
0.018,0.002324059950731048,0.0012799587111969855
0.019,0.002717839386364716,0.001513515723422379
0.02,0.0031215615872175933,0.0017590216947536961
0.021,0.0035272251792042206,0.0020142047120201884
0.022,0.003928169578676223,0.0022737311949849867
0.023,0.004315899759852398,0.002535001742340436
0.024,0.004684092819966516,0.002793527987279801
0.025,0.005027935740537513,0.0030465696566164607
0.026,0.005342136980982576,0.0032911575855050614
0.027,0.005624435655938554,0.003524913153019637
0.028,0.0058714416188503,0.003744957965063294
0.029,0.006083342639832215,0.003951090532191746
0.031,0.0063970802335383825,0.0043137296138906584
0.033,0.006571752704764178,0.004608386029987389
0.035,0.00662179292176354,0.0048350628710542975
0.037,0.006566953621555088,0.004996095703702348
0.039,0.006427395867741258,0.005097783851954164
0.041,0.0062244127158129865,0.005146214886571759
0.044,0.00584134170395131,0.00513630084278781
0.046,0.005556206506679432,0.005084829529054038
0.048,0.005261714303907809,0.005005417019126187
0.05,0.004967,0.0049039999999999995
