
          ---- Aqueous concentrations vs. grid blocks at specified times ----

   Unit: 
    - Aqueous species: Total concencentrations in mol/L     
    - Component in dry nodes in mol/L medium

VARIABLES =X,        Y,       Z,  P(bar)  ,      Sg,       Sl  ,     T(C)  ,  aH2O,    pH     ,t_tracer   ,
ZONE T= "0.100000E+00 d"  F=POINT
   -200.000   -200.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01 169.627  1.0000  5.6452  0.2188E-02
   -200.000   -152.300     0.000  0.3006E+03  0.0000E+00  0.1000E+01 138.929  1.0000  5.6452  0.3986E-02
   -200.000   -100.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01 112.984  1.0000  5.6452  0.3821E-02
   -200.000    -54.910     0.000  0.3007E+03  0.0000E+00  0.1000E+01  97.673  1.0000  5.6452  0.2905E-02
   -200.000      0.000     0.000  0.3007E+03  0.0000E+00  0.1000E+01  98.951  1.0000  5.6452  0.3021E-02
   -200.000     39.920     0.000  0.3007E+03  0.0000E+00  0.1000E+01 107.044  1.0000  5.6452  0.3436E-02
   -200.000    100.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01 111.567  1.0000  5.6452  0.3556E-02
   -200.000    159.500     0.000  0.3006E+03  0.0000E+00  0.1000E+01 141.024  1.0000  5.6452  0.3634E-02
   -200.000    200.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01 171.973  1.0000  5.6452  0.1970E-02
   -182.500    -54.910     0.000  0.3007E+03  0.0000E+00  0.1000E+01  86.801  1.0000  5.6452  0.1517E-02
   -181.700     39.920     0.000  0.3007E+03  0.0000E+00  0.1000E+01  88.908  1.0000  5.6452  0.1464E-02
   -175.700    -12.590     0.000  0.3007E+03  0.0000E+00  0.1000E+01  82.764  1.0000  5.6452  0.6847E-03
   -173.100    159.500     0.000  0.3006E+03  0.0000E+00  0.1000E+01 141.627  1.0000  5.6452  0.3517E-02
   -172.200   -152.300     0.000  0.3006E+03  0.0000E+00  0.1000E+01 137.537  1.0000  5.6452  0.3510E-02
   -167.100    -98.110     0.000  0.3006E+03  0.0000E+00  0.1000E+01  97.767  1.0000  5.6452  0.2762E-02
   -165.400     85.020     0.000  0.3006E+03  0.0000E+00  0.1000E+01  90.320  1.0000  5.6452  0.1746E-02
   -161.200    119.500     0.000  0.3006E+03  0.0000E+00  0.1000E+01 108.819  1.0000  5.6452  0.3321E-02
   -155.000     -0.553     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.891  1.0000  5.6452  0.3221E-04
   -152.300    -47.540     0.000  0.3007E+03  0.0000E+00  0.1000E+01  81.697  1.0000  5.6452  0.2889E-03
   -151.300     37.510     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.980  1.0000  5.6452  0.7642E-04
   -145.000    200.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01 167.507  1.0000  5.6452  0.2327E-02
   -142.800     64.690     0.000  0.3007E+03  0.0000E+00  0.1000E+01  81.621  1.0000  5.6452  0.2726E-03
   -137.700    -87.210     0.000  0.3006E+03  0.0000E+00  0.1000E+01  82.987  1.0000  5.6452  0.6592E-03
   -137.500   -200.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01 171.478  1.0000  5.6452  0.1963E-02
   -136.900      7.325     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.850  1.0000  5.6452  0.1354E-05
   -135.000   -127.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01 100.036  1.0000  5.6452  0.2759E-02
   -130.800    140.500     0.000  0.3006E+03  0.0000E+00  0.1000E+01 114.231  1.0000  5.6452  0.3374E-02
   -129.600    172.700     0.000  0.3006E+03  0.0000E+00  0.1000E+01 146.631  1.0000  5.6452  0.3204E-02
   -129.500   -169.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01 139.296  1.0000  5.6452  0.3370E-02
   -127.900    -18.930     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.848  1.0000  5.6452  0.1024E-06
   -126.500    101.700     0.000  0.3006E+03  0.0000E+00  0.1000E+01  87.040  1.0000  5.6452  0.1324E-02
   -123.400     22.610     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.848  1.0000  5.6452  0.1020E-07
   -117.700    -62.670     0.000  0.3007E+03  0.0000E+00  0.1000E+01  81.016  1.0000  5.6452  0.6130E-04
   -117.500     47.740     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.852  1.0000  5.6452  0.2368E-05
   -116.500    -38.140     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.849  1.0000  5.6452  0.1571E-06
   -103.700     71.660     0.000  0.3006E+03  0.0000E+00  0.1000E+01  81.025  1.0000  5.6452  0.7663E-04
   -103.700   -155.700     0.000  0.3006E+03  0.0000E+00  0.1000E+01 126.155  1.0000  5.6452  0.3224E-02
   -102.900    -89.670     0.000  0.3006E+03  0.0000E+00  0.1000E+01  82.112  1.0000  5.6452  0.4075E-03
   -101.100    200.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01 161.846  1.0000  5.6452  0.2663E-02
   -100.000    -23.500     0.000  0.3008E+03  0.0000E+00  0.1000E+01  80.848  1.0000  5.6452  0.9848E-10
   -100.000      0.000     0.000  0.3009E+03  0.0000E+00  0.1000E+01  80.845  1.0000  5.6452  0.9843E-10
   -100.000     23.500     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.848  1.0000  5.6452  0.9892E-10
    -95.380    126.400     0.000  0.3006E+03  0.0000E+00  0.1000E+01  98.784  1.0000  5.6452  0.2360E-02
    -93.550   -117.900     0.000  0.3006E+03  0.0000E+00  0.1000E+01  90.132  1.0000  5.6452  0.1612E-02
    -93.390    163.700     0.000  0.3006E+03  0.0000E+00  0.1000E+01 134.591  1.0000  5.6452  0.3243E-02
    -87.670     41.320     0.000  0.3007E+03  0.0000E+00  0.1000E+01  80.850  1.0000  5.6452  0.1042E-06
    -87.500   -200.000     0.000  0.3006E+03  0.0000E+00  0.1000E+01 155.068  1.0000  5.6452  0.2706E-02
    -84.730     92.270     0.000  0.3006E+03  0.0000E+00  0.1000E+01  82.225  1.0000  5.6452  0.4000E-03
    -84.270      9.080     0.000  0.3008E+03  0.0000E+00  0.1000E+01  80.848  1.0000  5.6452  0.9843E-10
    -83.710    -52.640     0.000  0.3006E+03  0.0000E+00  0.1000E+01  80.866  1.0000  5.6452  0.6960E-05
    -71.910     59.610     0.000  0.3006E+03  0.0000E+00  0.1000E+01  80.877  1.0000  5.6452  0.1288E-04
    -69.180   -162.200     0.000  0.3006E+03  0.0000E+00  0.1000E+01 129.857  1.0000  5.6452  0.3395E-02
    -69.160   -200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 159.473  1.0000  5.6452  0.2650E-02
